Time	Concentration
1     	0.99962
2     	0.99926
3     	0.99892
4     	0.99859
5     	0.99827
6     	0.99795
7     	0.99764
8     	0.99734
9     	0.99704
10    	0.99675
11    	0.99646
12    	0.99618
13    	0.9959
14    	0.99563
15    	0.99535
16    	0.99509
17    	0.99482
18    	0.99456
19    	0.9943
20    	0.99404
21    	0.99379
22    	0.99354
23    	0.99329
24    	0.99304
25    	0.9928
26    	0.99255
27    	0.99231
28    	0.99207
29    	0.99184
30    	0.9916
31    	0.99137
32    	0.99113
33    	0.9909
34    	0.99068
35    	0.99045
36    	0.99022
37    	0.99  
38    	0.98977
39    	0.98955
40    	0.98933
41    	0.98911
42    	0.98889
43    	0.98868
44    	0.98846
45    	0.98824
46    	0.98803
47    	0.98782
48    	0.98761
49    	0.9874
50    	0.98719
51    	0.98698
52    	0.98677
53    	0.98656
54    	0.98636
55    	0.98615
56    	0.98595
57    	0.98574
58    	0.98554
59    	0.98534
60    	0.98514
61    	0.98494
62    	0.98474
63    	0.98454
64    	0.98434
65    	0.98414
66    	0.98395
67    	0.98375
68    	0.98356
69    	0.98336
70    	0.98317
71    	0.98298
72    	0.98278
73    	0.98259
74    	0.9824
75    	0.98221
76    	0.98202
77    	0.98183
78    	0.98164
79    	0.98145
80    	0.98127
81    	0.98108
82    	0.98089
83    	0.98071
84    	0.98052
85    	0.98034
86    	0.98015
87    	0.97997
88    	0.97978
89    	0.9796
90    	0.97942
91    	0.97924
92    	0.97906
93    	0.97887
94    	0.97869
95    	0.97851
96    	0.97833
97    	0.97816
98    	0.97798
99    	0.9778
100   	0.97762
101   	0.97744
102   	0.97727
103   	0.97709
104   	0.97692
105   	0.97674
106   	0.97657
107   	0.97639
108   	0.97622
109   	0.97604
110   	0.97587
111   	0.9757
112   	0.97552
113   	0.97535
114   	0.97518
115   	0.97501
116   	0.97484
117   	0.97467
118   	0.9745
119   	0.97433
120   	0.97416
121   	0.97399
122   	0.97382
123   	0.97365
124   	0.97348
125   	0.97331
126   	0.97315
127   	0.97298
128   	0.97281
129   	0.97265
130   	0.97248
131   	0.97231
132   	0.97215
133   	0.97198
134   	0.97182
135   	0.97166
136   	0.97149
137   	0.97133
138   	0.97116
139   	0.971 
140   	0.97084
141   	0.97068
142   	0.97051
143   	0.97035
144   	0.97019
145   	0.97003
146   	0.96987
147   	0.96971
148   	0.96955
149   	0.96939
150   	0.96923
151   	0.96907
152   	0.96891
153   	0.96875
154   	0.96859
155   	0.96843
156   	0.96827
157   	0.96812
158   	0.96796
159   	0.9678
160   	0.96764
161   	0.96749
162   	0.96733
163   	0.96717
164   	0.96702
165   	0.96686
166   	0.96671
167   	0.96655
168   	0.9664
169   	0.96624
170   	0.96609
171   	0.96593
172   	0.96578
173   	0.96563
174   	0.96547
175   	0.96532
176   	0.96517
177   	0.96501
178   	0.96486
179   	0.96471
180   	0.96456
181   	0.96441
182   	0.96425
183   	0.9641
184   	0.96395
185   	0.9638
186   	0.96365
187   	0.9635
188   	0.96335
189   	0.9632
190   	0.96305
191   	0.9629
192   	0.96275
193   	0.9626
194   	0.96246
195   	0.96231
196   	0.96216
197   	0.96201
198   	0.96186
199   	0.96172
200   	0.96157
201   	0.96142
202   	0.96127
203   	0.96113
204   	0.96098
205   	0.96083
206   	0.96069
207   	0.96054
208   	0.9604
209   	0.96025
210   	0.96011
211   	0.95996
212   	0.95982
213   	0.95967
214   	0.95953
215   	0.95938
216   	0.95924
217   	0.9591
218   	0.95895
219   	0.95881
220   	0.95866
221   	0.95852
222   	0.95838
223   	0.95824
224   	0.95809
225   	0.95795
226   	0.95781
227   	0.95767
228   	0.95753
229   	0.95738
230   	0.95724
231   	0.9571
232   	0.95696
233   	0.95682
234   	0.95668
235   	0.95654
236   	0.9564
237   	0.95626
238   	0.95612
239   	0.95598
240   	0.95584
241   	0.9557
242   	0.95556
243   	0.95542
244   	0.95529
245   	0.95515
246   	0.95501
247   	0.95487
248   	0.95473
249   	0.95459
250   	0.95446
251   	0.95432
252   	0.95418
253   	0.95404
254   	0.95391
255   	0.95377
256   	0.95363
257   	0.9535
258   	0.95336
259   	0.95323
260   	0.95309
261   	0.95295
262   	0.95282
263   	0.95268
264   	0.95255
265   	0.95241
266   	0.95228
267   	0.95214
268   	0.95201
269   	0.95187
270   	0.95174
271   	0.95161
272   	0.95147
273   	0.95134
274   	0.9512
275   	0.95107
276   	0.95094
277   	0.9508
278   	0.95067
279   	0.95054
280   	0.95041
281   	0.95027
282   	0.95014
283   	0.95001
284   	0.94988
285   	0.94974
286   	0.94961
287   	0.94948
288   	0.94935
289   	0.94922
290   	0.94909
291   	0.94896
292   	0.94883
293   	0.9487
294   	0.94856
295   	0.94843
296   	0.9483
297   	0.94817
298   	0.94804
299   	0.94791
300   	0.94778
301   	0.94766
302   	0.94753
303   	0.9474
304   	0.94727
305   	0.94714
306   	0.94701
307   	0.94688
308   	0.94675
309   	0.94662
310   	0.9465
311   	0.94637
312   	0.94624
313   	0.94611
314   	0.94599
315   	0.94586
316   	0.94573
317   	0.9456
318   	0.94548
319   	0.94535
320   	0.94522
321   	0.9451
322   	0.94497
323   	0.94484
324   	0.94472
325   	0.94459
326   	0.94447
327   	0.94434
328   	0.94421
329   	0.94409
330   	0.94396
331   	0.94384
332   	0.94371
333   	0.94359
334   	0.94346
335   	0.94334
336   	0.94321
337   	0.94309
338   	0.94296
339   	0.94284
340   	0.94272
341   	0.94259
342   	0.94247
343   	0.94234
344   	0.94222
345   	0.9421
346   	0.94197
347   	0.94185
348   	0.94173
349   	0.94161
350   	0.94148
351   	0.94136
352   	0.94124
353   	0.94112
354   	0.94099
355   	0.94087
356   	0.94075
357   	0.94063
358   	0.94051
359   	0.94038
360   	0.94026
361   	0.94014
362   	0.94002
363   	0.9399
364   	0.93978
365   	0.93966
366   	0.93954
367   	0.93941
368   	0.93929
369   	0.93917
370   	0.93905
371   	0.93893
372   	0.93881
373   	0.93869
374   	0.93857
375   	0.93845
376   	0.93833
377   	0.93822
378   	0.9381
379   	0.93798
380   	0.93786
381   	0.93774
382   	0.93762
383   	0.9375
384   	0.93738
385   	0.93726
386   	0.93715
387   	0.93703
388   	0.93691
389   	0.93679
390   	0.93667
391   	0.93656
392   	0.93644
393   	0.93632
394   	0.9362
395   	0.93609
396   	0.93597
397   	0.93585
398   	0.93573
399   	0.93562
400   	0.9355
401   	0.93538
402   	0.93527
403   	0.93515
404   	0.93503
405   	0.93492
406   	0.9348
407   	0.93469
408   	0.93457
409   	0.93445
410   	0.93434
411   	0.93422
412   	0.93411
413   	0.93399
414   	0.93388
415   	0.93376
416   	0.93365
417   	0.93353
418   	0.93342
419   	0.9333
420   	0.93319
421   	0.93307
422   	0.93296
423   	0.93284
424   	0.93273
425   	0.93262
426   	0.9325
427   	0.93239
428   	0.93228
429   	0.93216
